member_name,item_date,relevance_score,title,source_url,reason,snippet
Certe,2026-07-10,10,Hoogste punt bereikt centraal laboratorium Drachten,https://www.certe.nl/nieuws/hoogste-punt-bereikt-centraal-laboratorium-drachten,dated item on member site,Hoogste punt bereikt centraal laboratorium Drachten › Certe Spring naar inhoud Ik ben Maak een keuze Maak een keuze Patiënt Aanvrager in een ziekenhuis Huisarts of verloskundige
Certe,2026-07-10,10,​Zelfmeten? Een fluitje ​​van een cent!,https://www.certe.nl/nieuws/zelfmeten-een-fluitje-van-een-cent,dated item on member site,​Zelfmeten? Een fluitje ​​van een cent! › Certe Spring naar inhoud Ik ben Maak een keuze Maak een keuze Patiënt Aanvrager in een ziekenhuis Huisarts of verloskundige
Certe,2026-07-10,10,​Nieuw lid Raad van Toezicht Certe,https://www.certe.nl/nieuws/nieuw-lid-raad-van-toezicht-certe,dated item on member site,​Nieuw lid Raad van Toezicht Certe › Certe Spring naar inhoud Ik ben Maak een keuze Maak een keuze Patiënt Aanvrager in een ziekenhuis Huisarts of verloskundige
STT Products,2026-07-08,18,Nieuws vanuit STT Products,https://sttproducts.nl/nieuws-updates-en-ontwikkelingen-stt-products,product,"Nieuws, updates en ontwikkelingen - STT Products Over ons Cases Nieuws Kennisbank Werken bij NL EN"
Opthec BV,2026-07-01,18,Our CTRs and Ringject now MDR-certified!,https://www.ophtec.com/blog/ctrs-ringject-mdr-certified,product,Our CTRs and Ringject now MDR-certified! About Us News Events Products Patients Distributors Calculator
Symeres,2026-07-01,18,Symeres and Axxam Appoint Russell Thomas as Chief Scientific Officer to lead their collaborative integrated discovery platform,https://symeres.com/news/russell-thomas-chief-scientific-officer,appoint,Symeres and Axxam Appoint Russell Thomas as Chief Scientific Officer to lead their collaborative integrated discovery platform | Symeres Drug discovery Drug discovery ← Back Drug discovery Chemistry Medicinal chemistry Synthetic chemistry
Innocore,2026-07-01,10,Webinar Replay: Developing Long-Acting Injectable Protein Therapeutics,https://innocorepharma.com/news-events/webinar-replay-developing-long-acting-injectable-protein-therapeutics,dated item on member site,Webinar Replay: Developing Long-Acting Injectable Protein Therapeutics - InnoCore Skip Navigation MENU Search Investors CLOSE Home Your drug modality
VDL Wientjes Roden,2026-06-25,10,Koning Willem-Alexander bezoekt VDL Groep,https://www.vdlwientjesroden.nl/nl/nieuws/koning-willem-alexander-bezoekt-vdl-groep,dated item on member site,Koning Willem-Alexander bezoekt VDL Groep | VDL Wientjes Roden EN DE +31 (0)50 - 502 48 11 Het bedrijf Profiel Missie Geschiedenis
Thermo Fisher,2026-06-11,18,Events and Webinars,https://www.thermofisher.com/us/en/home/events.html,product,Events and Webinars | Thermo Fisher Scientific - US Hamburger Menu Button Sign in Don't have an account ? Create Account Products Antibodies Cell Culture Media
ARDENA,2026-06-10,30,Ardena and CHDR Mark 15 Years of Strategic Partnership in Early Phase Drug Development,https://ardena.com/news/ardena-and-chdr-mark-15-years-of-strategic-partnership-in-early-phase-drug-development,"partnership, product",Ardena and CHDR Mark 15 Years of Strategic Partnership in Early Phase Drug Development - Ardena What we do Drug Product Complex formulation. We know it. Nanomedicine Where few CDMOs dare to go. Bioanalysis Data that moves your program forward.
ARDENA,2026-06-02,26,Ardena appoints Ariane de Ganck as Chief Scientific Officer,https://ardena.com/news/ardena-appoints-ariane-de-ganck-as-chief-scientific-officer,"product, appoint",Ardena appoints Ariane de Ganck as Chief Scientific Officer - Ardena What we do Drug Product Complex formulation. We know it. Nanomedicine Where few CDMOs dare to go. Bioanalysis Data that moves your program forward.
QDI Systems,2026-04-23,22,CSEM and QDI Systems Launch Quantum Dot CMOS Image Sensor for Direct X-Ray and SWIR Imaging,https://qdisystems.com/news-item/csem-and-qdi-systems-launch-quantum-dot-cmos-image-sensor-for-direct-x-ray-and-swir-imaging,launch,CSEM and QDI Systems Launch Quantum Dot CMOS Image Sensor for Direct X-Ray and SWIR Imaging - QDI Systems Solutions Case studies Quantum dots Facility Careers About Quantum Dot Solutions
QDI Systems,2026-04-23,18,QDI systems nominated for the 2025 Computable Awards,https://qdisystems.com/news-item/qdi-systems-nominated-for-the-2025-computable-awards,award,QDI systems nominated for the 2025 Computable Awards - QDI Systems Solutions Case studies Quantum dots Facility Careers About Quantum Dot Solutions
